Tempo Decorrido; Velocidade; Rotacao; Acelerador; Freio; Hodometro Parcial; Ref, Velo; Max Torque+; Max Torque-; Torque Motor;TempMos1; TempMos2; TempAr; TempMotor; Tensao Bat; Corrente Motor; Tensao Motor;  id; iq; idx; iqx; GPV; GIV; GDV; GPC; GIC; GPF; GIF; FluxoMax; Cod, Falha; Cod, Alarme; Estado de Teste; Ass, Rampa; Controle Cruzeiro;SOC; Corrente Pack; 
0;0;0;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
0,1;0;0;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
0,2;0;0;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
0,3;0,1;2;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
0,4;0,9;55;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
0,5;0,8;80;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;0,2;
0,6;1,3;101;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
0,7;2,7;191;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
0,8;2,3;239;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
0,9;3,1;267;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
1;3;286;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;0,4;
1,1;2,6;284;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;0,2;
1,2;2,5;260;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;0,3;
1,3;1,8;205;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
1,4;2,8;243;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;0,3;
1,5;3,1;269;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;0,2;
1,6;2,7;292;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;0,2;
1,7;1,4;192;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
1,8;0,5;102;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
1,9;0,6;70;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
2;1,8;117;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
2,1;2,3;206;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;-0,1;
2,2;1,9;202;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;0,3;
2,3;3,2;255;;;;;;;;;;;;52,6;;;;;;;;;;;;;;;;;;;;;2,2;
2,4;3,1;281;;;;;;;;;;;;52,4;;;;;;;;;;;;;;;;;;;;;13;
2,5;2,7;281;;;;;;;;;;;;52,4;;;;;;;;;;;;;;;;;;;;;15,6;
2,6;3,4;320;;;;;;;;;;;;52,3;;;;;;;;;;;;;;;;;;;;;22,6;
2,7;3,6;335;;;;;;;;;;;;52,3;;;;;;;;;;;;;;;;;;;;;28,1;
2,8;3,8;350;;;;;;;;;;;;52,2;;;;;;;;;;;;;;;;;;;;;30,1;
2,9;4,3;375;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;34,5;
3;4,7;429;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;31,7;
3,1;4,6;447;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;36,9;
3,2;5,3;481;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;39,7;
3,3;5,7;534;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;47,3;
3,4;6,5;608;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;60;
3,5;7,6;679;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;57;
3,6;8;733;;;;;;;;;;;;51,6;;;;;;;;;;;;;;;;;;;;;61,7;
3,7;10,2;825;;;;;;;;;;;;50,5;;;;;;;;;;;;;;;;;;;;;131,4;
3,8;12;1009;;;;;;;;;;;;50,5;;;;;;;;;;;;;;;;;;;;;128,5;
3,9;14,1;1237;;;;;;;;;;;;50,4;;;;;;;;;;;;;;;;;;;;;139,2;
4;14,4;1361;;;;;;;;;;;;51,1;;;;;;;;;;;;;;;;;;;;;79,2;
4,1;15,1;1438;;;;;;;;;;;;51,2;;;;;;;;;;;;;;;;;;;;;70,3;
4,2;16,4;1519;;;;;;;;;;;;50,9;;;;;;;;;;;;;;;;;;;;;91,7;
4,3;17,9;1639;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;;;79,1;
4,4;18,7;1749;;;;;;;;;;;;50,9;;;;;;;;;;;;;;;;;;;;;87,5;
4,5;19,6;1840;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;;;79,3;
