Tempo Decorrido; Velocidade; Rotacao; Acelerador; Freio; Hodometro Parcial; Ref, Velo; Max Torque+; Max Torque-; Torque Motor;TempMos1; TempMos2; TempAr; TempMotor; Tensao Bat; Corrente Motor; Tensao Motor;  id; iq; idx; iqx; GPV; GIV; GDV; GPC; GIC; GPF; GIF; FluxoMax; Cod, Falha; Cod, Alarme; Estado de Teste; Ass, Rampa; Controle Cruzeiro;SOC; Corrente Pack; 
0,1;0;0;0;0;0;5831;0;0;0;335;327;462;0;535;521;0;1906;65535;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
0,26;0;0;0;0;0;5831;0;0;0;335;327;462;0;535;521;0;1891;65528;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
0,36;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;521;0;1862;6;1883;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
0,48;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;520;0;1867;65534;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
0,58;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;520;0;1877;13;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
0,68;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1857;65524;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;28;
0,8;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1895;7;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
0,9;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1876;14;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
1,02;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1875;1;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;28;
1,12;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1882;27;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
1,25;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;517;0;1898;0;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
1,35;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;515;0;1892;0;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;28;
1,47;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;514;0;1872;65526;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
1,57;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;513;0;1855;24;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
1,67;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;512;0;1858;65531;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
1,79;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;511;0;1904;65529;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
1,89;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;510;0;1873;24;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
2,01;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;510;0;1862;65528;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
2,11;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;509;0;1908;65532;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
2,23;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;508;0;1862;4;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
2,33;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;508;0;1867;12;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
2,46;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;508;0;1885;25;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
2,56;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;508;0;1872;9;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
2,66;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;507;0;1885;7;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
2,78;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;506;0;1871;21;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
2,88;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;505;0;1876;18;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
3;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;504;0;1884;8;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
3,1;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;504;0;1862;17;1883;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;28;
3,22;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;505;0;1907;65535;1883;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;28;
3,32;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;504;0;1875;65534;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
3,44;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;502;0;1879;65515;1884;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
3,54;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;502;0;1879;65515;1884;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
3,67;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;502;0;1898;17;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
3,77;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;500;0;1902;6;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
3,87;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;497;0;1888;4;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
3,99;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;499;0;1874;25;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
4,09;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;502;0;1893;22;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
4,21;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;504;0;1866;5;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
4,31;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;505;0;1890;65524;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
4,44;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;505;0;1885;1;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
4,54;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;506;0;1898;10;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
4,66;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;507;0;1867;6;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
4,76;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;507;0;1894;7;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
4,86;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;509;0;1894;7;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
4,98;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;509;0;1872;65530;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
5,08;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;509;0;1867;2;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
5,2;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;510;0;1900;1;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
5,3;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;511;0;1905;65535;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
5,42;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;511;0;1868;3;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
5,52;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;511;0;1896;6;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
5,65;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;513;0;1882;1;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
5,75;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;514;0;1902;10;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
5,85;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;515;0;1935;10;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
5,97;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;517;0;1866;8;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;30;
6,07;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;518;0;1877;11;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
6,19;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;520;0;1847;65525;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
6,29;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;521;0;1883;65535;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
6,41;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;522;0;1872;2;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;30;
6,51;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;526;0;1874;9;1877;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;30;
6,63;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;527;0;1912;4;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
6,73;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;527;0;1916;13;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
6,83;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;528;0;1867;4;1877;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
6,96;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;529;0;1887;65532;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
7,06;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;530;0;1879;19;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
7,18;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;532;0;1878;0;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
7,28;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;532;0;1869;5;1883;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
7,4;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;531;0;1851;8;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
7,5;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;531;0;1871;65531;1884;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
7,63;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;534;0;1906;4;1884;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
7,73;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;536;0;1875;65532;1879;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
7,83;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;537;0;1857;65529;1878;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
7,95;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;538;0;1866;65512;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
8,05;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;539;0;1887;65530;1884;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
8,17;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;540;0;1906;65533;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
8,27;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;540;0;1878;65534;1881;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;29;
8,39;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;540;0;1909;17;1878;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;30;
8,49;0;0;0;0;0;5831;0;0;0;335;324;463;0;535;540;0;1872;65528;1880;0;70;900;0;75;20;30;1;120;0;0;1;0;0;70;31;
