Tempo Decorrido; Velocidade; Rotacao; Acelerador; Freio; Hodometro Parcial; Ref, Velo; Max Torque+; Max Torque-; Torque Motor;TempMos1; TempMos2; TempAr; TempMotor; Tensao Bat; Corrente Motor; Tensao Motor;  id; iq; idx; iqx; GPV; GIV; GDV; GPC; GIC; GPF; GIF; FluxoMax; Cod, Falha; Cod, Alarme; Controle Cruzeiro; Ass, Rampa;SOC; Corrente Pack; Estado de Teste; 
0,1;0;0;0;0;0;5831;0;0;0;335;327;462;0;535;521;0;1906;65535;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,2;0;0;0;0;0;5831;0;0;0;335;327;462;0;535;521;0;1891;65528;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,3;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;521;0;1862;6;1883;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,4;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;520;0;1867;65534;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,5;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;520;0;1877;13;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,6;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1857;65524;1881;0;70;900;0;75;20;30;1;120;0;70;28;0;0;0;1;
0,7;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1895;7;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,8;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1876;14;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,9;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1875;1;1881;0;70;900;0;75;20;30;1;120;0;70;28;0;0;0;1;
1;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1882;27;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
1,1;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;517;0;1898;0;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
1,2;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;515;0;1892;0;1881;0;70;900;0;75;20;30;1;120;0;70;28;0;0;0;1;
1,3;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;514;0;1872;65526;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
1,4;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;513;0;1855;24;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
1,5;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;512;0;1858;65531;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
1,6;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;511;0;1904;65529;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
1,7;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;510;0;1873;24;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
1,8;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;510;0;1862;65528;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
1,9;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;509;0;1908;65532;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
2;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;508;0;1862;4;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
2,1;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;508;0;1867;12;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
2,2;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;508;0;1885;25;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
2,3;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;508;0;1872;9;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
2,4;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;507;0;1885;7;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
2,5;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;506;0;1871;21;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
2,6;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;505;0;1876;18;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
2,7;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;504;0;1884;8;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
2,8;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;504;0;1862;17;1883;0;70;900;0;75;20;30;1;120;0;70;28;0;0;0;1;
2,9;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;505;0;1907;65535;1883;0;70;900;0;75;20;30;1;120;0;70;28;0;0;0;1;
3;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;504;0;1875;65534;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
3,1;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;502;0;1879;65515;1884;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
3,2;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;502;0;1879;65515;1884;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
3,3;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;502;0;1898;17;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
3,4;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;500;0;1902;6;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
3,5;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;497;0;1888;4;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
3,6;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;499;0;1874;25;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
3,7;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;502;0;1893;22;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
3,8;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;504;0;1866;5;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
3,9;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;505;0;1890;65524;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
4;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;505;0;1885;1;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
4,1;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;506;0;1898;10;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
4,2;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;507;0;1867;6;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
4,3;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;507;0;1894;7;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
4,4;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;509;0;1894;7;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
4,5;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;509;0;1872;65530;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
4,6;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;509;0;1867;2;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
4,7;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;510;0;1900;1;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
4,8;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;511;0;1905;65535;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
4,9;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;511;0;1868;3;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
5;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;511;0;1896;6;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
5,1;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;513;0;1882;1;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
5,2;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;514;0;1902;10;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
5,3;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;515;0;1935;10;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
5,4;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;517;0;1866;8;1880;0;70;900;0;75;20;30;1;120;0;70;30;0;0;0;1;
5,5;0;0;0;0;0;5831;0;0;0;335;326;463;0;535;518;0;1877;11;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
