Tempo Decorrido; Velocidade; Rotacao; Acelerador; Freio; Hodometro Parcial; Ref, Velo; Max Torque+; Max Torque-; Torque Motor;TempMos1; TempMos2; TempAr; TempMotor; Tensao Bat; Corrente Motor; Tensao Motor;  id; iq; idx; iqx; GPV; GIV; GDV; GPC; GIC; GPF; GIF; FluxoMax; Cod, Falha; Cod, Alarme; Controle Cruzeiro; Ass, Rampa;SOC; Corrente Pack; Estado de Teste; 
0,1;0;0;0;0;0;5831;0;0;0;335;327;462;0;535;521;0;1906;65535;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,26;0;0;0;0;0;5831;0;0;0;335;327;462;0;535;521;0;1891;65528;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,36;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;521;0;1862;6;1883;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,48;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;520;0;1867;65534;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,58;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;520;0;1877;13;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,68;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1857;65524;1881;0;70;900;0;75;20;30;1;120;0;70;28;0;0;0;1;
0,8;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1895;FI01;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
0,9;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1876;14;1880;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
1,02;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1875;1;1881;0;70;900;0;75;20;30;1;120;0;70;28;0;0;0;1;
1,12;0;0;0;0;0;5831;0;0;0;335;326;462;0;535;518;0;1882;FI02;1881;0;70;900;0;75;20;30;1;120;0;70;29;0;0;0;1;
